class,00:19:cb:cc:70:62,00:12:bf:9a:9d:31,00:04:0e:89:70:17,20:4e:7f:78:4f:88,00:1c:28:29:6c:34,bc:05:43:e8:1f:25,00:90:4c:7e:00:64,00:1a:4f:8d:a9:21,50:7e:5d:08:3b:4e,00:04:0e:da:10:3b,1c:c6:3c:7d:c9:66,00:22:3f:6a:f6:54,7c:4f:b5:59:5f:26,c0:25:06:da:a1:a3,bc:05:43:0f:a4:c9,24:65:11:09:50:ea,00:12:bf:6b:34:b4,9c:c7:a6:2a:60:5c,00:24:fe:43:a2:5d,24:65:11:04:37:2a,24:65:11:64:4c:a1,20:4e:7f:78:4f:8a,00:1b:2f:ba:d2:1f,1c:c6:3c:a5:b5:00,c0:25:06:ba:08:ff,50:7e:5d:96:21:74,00:8e:f2:7e:34:d6,00:1f:3f:ae:3b:8d,74:31:70:a7:72:93,00:1d:19:06:8c:7c,00:1c:28:1d:50:71,7c:4f:b5:2d:e4:60,06:1f:3f:ae:3b:8d,24:65:11:07:87:e2,00:26:5a:33:99:13,00:24:01:b8:05:59,c0:25:06:a3:3a:bc,00:1f:3f:75:0f:17,00:1f:3f:d5:ff:a8
Room 2,0.28,0.0,0.0,0.55,0.0,0.13,0.86,0.0,0.35,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.4,0.26,0.0,0.28,0.0,0.22,0.06,0.2,0.0,0.22,0.0,0.13,0.0,0.0,0.0,0.0,0.15,0.2,0.17,0.2,0.17,0.2,0.31
Room 2,0.28,0.0,0.0,0.48,0.0,0.13,1.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.44,0.26,0.0,0.17,0.0,0.31,0.06,0.2,0.0,0.22,0.0,0.13,0.0,0.0,0.26,0.0,0.15,0.2,0.17,0.2,0.17,0.2,0.31
Room 2,0.28,0.0,0.0,0.66,0.0,0.35,0.93,0.0,0.13,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.35,0.15,0.0,0.17,0.0,0.28,0.0,0.22,0.0,0.17,0.0,0.13,0.0,0.0,0.26,0.0,0.15,0.0,0.0,0.2,0.17,0.2,0.31
Room 2,0.37,0.0,0.0,0.62,0.0,0.28,0.8,0.0,0.46,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.46,0.15,0.0,0.15,0.0,0.2,0.0,0.22,0.0,0.17,0.0,0.13,0.0,0.0,0.26,0.0,0.15,0.0,0.0,0.0,0.0,0.2,0.31
Room 2,0.2,0.0,0.0,0.66,0.0,0.35,0.93,0.0,0.46,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.44,0.15,0.0,0.15,0.0,0.22,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.22,0.0,0.0,0.42,0.0,0.42,1.0,0.0,0.46,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.53,0.15,0.0,0.15,0.0,0.08,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.28,0.0,0.0,0.31,0.0,0.37,1.0,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.37,0.15,0.0,0.15,0.0,0.08,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.33,0.0,0.0,0.31,0.4,0.44,1.0,0.0,0.17,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.26,0.0,0.0,0.4,0.4,0.44,1.0,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.26,0.0,0.0,0.37,0.4,0.37,1.0,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.26,0.0,0.0,0.48,0.4,0.37,0.91,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.22,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Room 2,0.26,0.0,0.0,0.44,0.4,0.37,0.97,0.0,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.26,0.0,0.17,0.06,0.0,0.0,0.2,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
